Assembly k_xy, Max mises 1, Assembly k_theta, Max mises 2, Mass
8.9533e+08,-0.1,1.96644e+11,995320704.0,-6533864.42728
8.07905e+08,-0.1,2.02275e+11,861211008.0,-6492747.95749
7.23369e+08,-0.1,1.82937e+11,926893888.0,-6508180.87947
1.12001e+09,-0.1,3.38355e+11,1287582208.0,-6641780.91465
9.56476e+08,-0.1,2.58245e+11,1255988480.0,-6574980.89706
1.08292e+09,-0.1,2.72469e+11,1192608640.0,-6657213.83664
9.5576e+08,-0.1,2.06812e+11,1046925120.0,-6682897.38444
8.58391e+08,-0.1,2.39714e+11,1068250624.0,-6603255.59295
8.47534e+08,-0.1,2.48226e+11,1246009344.0,-6486327.07054
7.80267e+08,-0.1,1.62717e+11,814178560.0,-6555718.23621
1.07495e+09,-0.1,3.03342e+11,1179602816.0,-6672646.75862
9.20795e+08,-0.1,2.27848e+11,992385856.0,-6568560.01011
8.67495e+08,-0.1,1.39921e+11,752066624.0,-6581401.78401
1.11082e+09,-0.1,2.78546e+11,1285574016.0,-6691909.41947
8.21103e+08,-0.1,2.30188e+11,1039525760.0,-6514601.76642
1.16143e+09,-0.1,2.95864e+11,1279499904.0,-6622518.2538
7.3795e+08,-0.1,1.49459e+11,888313728.0,-6479906.18359
9.24617e+08,-0.1,2.02296e+11,829001600.0,-6533864.42728
7.51556e+08,-0.1,1.54654e+11,889688448.0,-6555718.23621
8.78423e+08,-0.1,1.70947e+11,900129536.0,-6609676.4799
9.02115e+08,-0.1,2.05066e+11,952592000.0,-6650792.94968
1.04324e+09,-0.1,3.01326e+11,1306212992.0,-6663634.72359
8.3591e+08,-0.1,2.34658e+11,1083988096.0,-6479906.18359
7.60329e+08,-0.1,2.10639e+11,997778496.0,-6458052.37466
8.55452e+08,-0.1,2.40887e+11,1128237952.0,-6562139.12316
8.37857e+08,-0.1,2.26579e+11,1034769216.0,-6492747.95749
9.58472e+08,-0.1,2.76122e+11,1302593920.0,-6622518.2538
8.15152e+08,-0.1,2.13457e+11,1063067648.0,-6594243.55792
8.32478e+08,-0.1,1.74324e+11,998458752.0,-6473485.29664
7.92748e+08,-0.1,2.3326e+11,1191723776.0,-6562139.12316
1.00667e+09,-0.1,2.21532e+11,1021750080.0,-6581401.78401
7.64225e+08,-0.1,1.94572e+11,972218624.0,-6499168.84444
8.50614e+08,-0.1,2.3104e+11,1059923200.0,-6555718.23621
9.5787e+08,-0.1,2.12392e+11,1021222784.0,-6562139.12316
5.98154e+08,-0.1,8.8202e+10,648020352.0,-6473485.29664
6.92591e+08,-0.1,1.9689e+11,968094528.0,-6527443.54033
7.17269e+08,-0.1,1.98194e+11,948955200.0,-6404094.13097
9.27712e+08,-0.1,2.09304e+11,867092800.0,-6540285.31423
9.71245e+08,-0.1,2.18722e+11,986699904.0,-6533864.42728
9.47861e+08,-0.1,2.48537e+11,1044634176.0,-6637951.17578
1.26528e+09,-0.1,2.95131e+11,1250395776.0,-6704751.19337
1.14359e+09,-0.1,3.08904e+11,1161836416.0,-6650792.94968
1.02906e+09,-0.1,2.39986e+11,1125895424.0,-6603255.59295
9.33015e+08,-0.1,2.24374e+11,1159188224.0,-6568560.01011
9.18044e+08,-0.1,1.81524e+11,880144768.0,-6616097.36685
9.19984e+08,-0.1,2.05129e+11,1091814656.0,-6637951.17578
8.66595e+08,-0.1,1.66345e+11,868387392.0,-6568560.01011
8.20743e+08,-0.1,2.60586e+11,1248038144.0,-6410515.01792
7.91134e+08,-0.1,2.33478e+11,1065726464.0,-6460643.52274
1.04568e+09,-0.1,3.13237e+11,1158276480.0,-6663634.72359
9.62698e+08,-0.1,2.88401e+11,1309381504.0,-6568560.01011
1.25245e+09,-0.1,3.07642e+11,1122612864.0,-6672646.75862
9.50398e+08,-0.1,2.69504e+11,1206168448.0,-6644372.06273
1.03577e+09,-0.1,2.42591e+11,1114907648.0,-6657213.83664
8.11429e+08,-0.1,2.31386e+11,1039054144.0,-6521022.65337
9.45136e+08,-0.1,1.84107e+11,880641664.0,-6644372.06273
7.89696e+08,-0.1,1.84533e+11,911241088.0,-6464473.26161
8.88574e+08,-0.1,1.75211e+11,852993344.0,-6596834.706
7.93783e+08,-0.1,1.92399e+11,833634496.0,-6555718.23621
1.16335e+09,-0.1,2.68399e+11,1250165504.0,-6720184.11535
1.06678e+09,-0.1,2.3247e+11,863371392.0,-6713763.2284
9.49267e+08,-0.1,2.69214e+11,1178119936.0,-6587822.67097
9.91692e+08,-0.1,1.81451e+11,837601664.0,-6616097.36685
7.29042e+08,-0.1,1.83718e+11,913426496.0,-6514601.76642
1.14046e+09,-0.1,2.13751e+11,980527424.0,-6689318.27139
9.76866e+08,-0.1,2.53669e+11,1158799616.0,-6555718.23621
5.2015e+08,-0.1,1.04995e+11,719985920.0,-6609676.4799
8.86283e+08,-0.1,2.22469e+11,960053888.0,-6609676.4799
8.19968e+08,-0.1,2.27742e+11,1117058176.0,-6540285.31423
